"ModelN","Model","MixedEffects","Effects","masterrank_global","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3","Site","MixedInt",1,0.96152,18.56644,41.79328,0.23236,0.05852,0.24906,0.0266,0,0.2354,0.33031,"16.MixedInt_Site",-0.96456,1.59213,0.49652,0.48683,1.93119,4.2076,2.18009,2.90005,1.10914,0.72395883497492,0.226374537598341,0.219417637957046,0.137002647510512,4.2076
12,"DBH.cm, Height.m, CanopyDiameter.m","Species&Site","MixedInt",2,0.9605,26.44317,49.67001,0.23248,0.05855,0.24314,0.03229,0,0.23662,0.42893,"12.MixedInt_Species&Site",-1.61483,1.58825,0.49111,0.49523,NA,4.22674,2.24153,2.77134,NA,0.731483166926254,0.244702454236953,0.22325299241684,NA,4.22674
14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3","Site","MixedInt",3,0.95921,40.43938,60.3481,0.24363,0.06136,0.24529,0.06545,0,0.24702,0.51768,"14.MixedInt_Site",-0.40233,1.81168,0.4651,1.94905,NA,2.76246,2.86642,1.10933,NA,0.796860377138644,0.187005084494664,0.120696982533358,NA,2.86642
7,"DBH.cm, CanopyDiameter.m","Species&Site","MixedInt",4,0.95805,47.25437,67.16309,0.24367,0.06136,0.25132,0.05788,0,0.24818,0.55404,"7.MixedInt_Species&Site",-1.06138,1.80439,0.47542,NA,NA,2.74967,2.74967,NA,NA,0.811023385026815,0.21946608077642,NA,NA,2.74967
12,"DBH.cm, Height.m, CanopyDiameter.m","Site","MixedInt",5,0.95357,49.36321,69.27192,0.25302,0.06372,0.26219,0.04806,0,0.25622,0.25901,"12.MixedInt_Site",-1.57088,1.49516,0.515,0.59873,NA,4.0083,2.14649,2.62591,NA,0.675551391471269,0.289992978885104,0.214209658792248,NA,4.0083
12,"DBH.cm, Height.m, CanopyDiameter.m","Species","MixedInt",6,0.94958,47.59758,67.5063,0.25688,0.06469,0.25834,0.0597,0,0.25867,0.18417,"12.MixedInt_Species",-1.48027,1.48581,0.54903,0.51243,NA,4.17384,1.83282,2.93106,NA,0.680767718040998,0.24317600208729,0.236804228418199,NA,4.17384
7,"DBH.cm, CanopyDiameter.m","Site","MixedInt",7,0.95166,69.00058,85.59118,0.26322,0.06629,0.27515,0.04936,0,0.26685,0.47542,"7.MixedInt_Site",-0.99774,1.72174,0.57798,NA,NA,2.58585,2.58585,NA,NA,0.763958462571877,0.256068182868759,NA,NA,2.58585
16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",NA,"Fixed",8,0.94455,54.0067,73.91542,0.26821,0.06755,0.26885,0.05069,NA,0.27156,NA,"16.Fixed",-0.99366,1.40106,0.67557,0.50193,1.60498,4.15314,1.55718,3.41904,1.12073,0.643426688041692,0.324918276605181,0.209792020965754,0.0887749209897649,4.15314
4,"Comp.DBH.H.Den","Site","MixedIntSlope",9,0.95105,87.50824,108.36702,0.25707,0.0645,0.26715,0.06409,0,0.2639,0.4592,"4.MixedIntSlope_Site",-2.21609,0.91057,NA,NA,NA,NA,NA,NA,NA,0.929799551522517,NA,NA,NA,-Inf
13,"DBH.cm, Height.m, WoodDensity.g.cm3","Site","MixedInt",10,0.94846,75.32483,96.18361,0.26309,0.06601,0.27135,0.05091,0,0.2666,0.2709,"13.MixedInt_Site",-0.91882,1.97755,0.48699,3.06559,NA,1.96414,1.95967,1.00403,NA,0.897384144383103,0.263096458551451,0.188925831538808,NA,1.96414
6,"DBH.cm, Height.m","Species&Site","MixedInt",11,0.94778,84.53283,105.39161,0.2631,0.06602,0.27509,0.04543,0,0.2677,0.43427,"6.MixedInt_Species&Site",-1.94125,1.98796,0.46433,NA,NA,2.0313,2.0313,NA,NA,0.899037775653573,0.175793345701953,NA,NA,2.0313
12,"DBH.cm, Height.m, CanopyDiameter.m",NA,"Fixed",12,0.93915,70.97163,87.56223,0.28097,0.07076,0.28525,0.04164,NA,0.28377,NA,"12.Fixed",-1.52055,1.33717,0.68197,0.59758,NA,3.99321,1.55649,3.08071,NA,0.609029316821903,0.308969673986481,0.275657408816667,NA,3.99321
